Pos Office Branch,User,Reviews,Rate,tanggal_review
kantor pos besar pontianak,hana pusparini,paket gula merah saya dari tanggal 29 juli 2021 belum datang dari malimping... padahal itu makanan kalau jamuran rugi saya...,1,2022-08-11
kantor pos besar pontianak,dila aprillia,paket d bilang 1 hari sampai. tapi nggak sampai2. d telpn buat konfirmasi nggak d angkat angkat. trus kita harus cari paket kita kemana?,1,2019-08-11
kantor pos besar pontianak,bilt odyssey,"cacat, judulnya doang pos kilat. masih aja lama sampenya",1,2024-08-11
kantor pos besar pontianak,dimas yoga,"barang lama sampe, banyak alesan nyangkut sana sini lah, padahal di webnya udah jelas barang di pontianak, pelayanan buruk nomer telepon tidak pernah di angkat",1,2019-08-11
kantor pos besar pontianak,nana khan,"untuk pos kilat khusus... saya sangat kecewa dengan pelayanan anda....!!!! bisa bisanya paket yang belum saya terima,,masa keterangannya sudah diterima....!!! jangan kayak gitu dong.... kalau paketnya kenapa2 gimana....!!!!! seharusnya kalau belum diterima sama orangnya langsung jangan sok sok an diterima....!!!! gak amanah sekali yaaa....!!!!! sekarang tanggung jawabnya gimana....!!!!! paket saya gak sampai ditangan saya loh ini,,bahkan si kurir juga gak ada telpon ke hp saya kalau mau antar barang....!!!!! sangat sangat mengecewakan.....!!!",1,2022-08-11
kantor pos besar pontianak,jaka swara,agak kecewa tiap kali mau tarik uang selalu saja ganngguan sampe 4hri bolak balik post gangguan melulu udalah datang jauh dari kampung....,2,2019-08-11
kantor pos besar pontianak,time to rayyan,"cepat, ramah dan berkualitas.

jaya selalu pos indonesia",5,2024-08-11
kantor pos besar pontianak,kang mus,bermitra dengan kantor pos,5,2019-08-11
kantor pos besar pontianak,tina sadin,"susah sekali hubugin kantor pos nya..
setiap di tlp gak pernah di jawab.. hadeeewe",1,2017-08-11
kantor pos besar pontianak,mj11_12 channel,"pelayananya cepat...   cs. nya ramah..
koperasinya juga murah... ndak nyangkee..  hahah
tapi untuk halamn depan kayaknye perlu sedikit polesan..  biar lebih.  jempoool..",4,2018-08-11
kantor pos besar pontianak,ary elvandari,kapokkkkk pake pos.. harga doank yg dinaikin tp gak diimbangi dg pelayanan,1,2020-08-11
kantor pos besar pontianak,muhammad irfan,lama!,1,2025-05-11
kantor pos besar pontianak,totok susilo pamuji nugroho,"kantor pos sini mantap,,,
sebaiknya ditingkatkan lagi tingkat cueknya",1,2022-08-11
kantor pos besar pontianak,chelyka manurung,pegawai tidak ramah. hari pertama kirim barang bisa. hari kedua ditolak mentah2. gak lagi deh.,1,2023-08-11
kantor pos besar pontianak,mardonius hero,"mana ni paketan saya, dari tanggal 4 sampai sekarang belum di antar ke rumah",1,2020-08-11
kantor pos besar pontianak,elyza fatinah,"pelayanan sangat buruk, terlalu prosedur",1,2024-08-11
kantor pos besar pontianak,shafrian tri fajari,layanan lama.,2,2025-05-11
kantor pos besar pontianak,kevin,bumn yg mengecewakan.. paket lelet banget sampainya,1,2020-08-11
kantor pos besar pontianak,christina beatrice,the staffs in customer service aren't friendly. ketika staff nya lebih galak dari pengirim :(,1,2020-08-11
kantor pos besar pontianak,eki dwi c a y,bisa gak kirim barang minyak urut ke malaysia???berapa biaya,2,2022-08-11
kantor pos besar pontianak,rofijks virahman,"mas lama banget sih barangnya datang, udh hmpir 2 minggu ne",1,2018-08-11
kantor pos besar pontianak,litha phang,kenapa susah di hubungi kantor pos pontianak... mana pelayanan ny??,1,2017-08-11
kantor pos besar pontianak,davin lisley,pelayanan jelek banget,1,2025-01-11
kantor pos besar pontianak,vincent william,paket saya diantar ke warnet padahal alamat sudah tertera jelas,1,2018-08-11
kantor pos besar pontianak,sony hartono,bisa mencairkan western union dengan cepat dan mudah.,4,2016-08-11
kantor pos besar pontianak,arfa satria,"pelayanan tidak baik, mencari kesempatan dalam kesempitan.",1,2020-08-11
kantor pos besar pontianak,lukman hqeem,"layanannya memuaskan, cukup enak mengunjunginya meski ditengah siang bolong.",5,2017-08-11
kantor pos besar pontianak,wanda hidayat,layanannya cepat,5,2018-08-11
kantor pos besar pontianak,prasetyo aji nugroho,untuk pengiriman berkas penting bisa aman,4,2021-08-11
kantor pos besar pontianak,tono chia,kurirnya malas sekali antar paketnya.,1,2017-08-11
kantor pos besar pontianak,fikri ptk,"malam ,saya mau nanya bantuan blt udah kelhar ya pak",5,2020-08-11
kantor pos besar pontianak,radika aryuli,"ditelpon selalu ga angkat
lbh dr 5x telpon tak ada yg angkat",1,2019-08-11
kantor pos besar pontianak,inge galau,"kenapa d telfon  tidak ada yang angkat
susah benar angkat telfon",1,2017-08-11
kantor pos besar pontianak,subhan almursyidi,petugasnya punya kinerja yg baik,5,2019-08-11
kantor pos besar pontianak,pramono djati,kantor pos besar di wil kalbar,5,2021-08-11
kantor pos besar pontianak,junaidi junaidi,saya lg masang sounsiste...,5,2016-08-11
kantor pos besar pontianak,a kit,pengiriman terburuk,1,2022-08-11
kantor pos besar pontianak,arman,pelayanannya cukup bagus,5,2021-08-11
kantor pos besar pontianak,widyantara,pelayanan bagus dan cepat tanggap.,4,2018-08-11
kantor pos besar pontianak,reed r,pelayanan bagus,4,2023-08-11
kantor pos besar pontianak,the samutai x,lumayan bagus,5,2024-08-11
kantor pos besar pontianak,andy arkham (andy),mending jangan pake pos,1,2018-08-11
kantor pos besar pontianak,mulyadi ardiansyah,beli materai dsini sj,4,2018-08-11
kantor pos besar pontianak,nudi wicaksono,pelayanan memuaskan,3,2023-08-11
kantor pos besar pontianak,stefan kolius,pelayanan sangat buruk,1,2019-08-11
kantor pos besar pontianak,elit irawan,telp ga diangkat2...,1,2017-08-11
kantor pos besar pontianak,daily laulaikasr,bagus,5,2024-08-11
kantor pos besar pontianak,inoue jun,kantor pos pusat pontianak,5,2020-08-11
kantor pos besar pontianak,mala karmila wati,alhamdulillah puas,5,2022-08-11
kantor pos besar pontianak,ridho wahyu wisuda,kurang gercep.,3,2021-08-11
kantor pos besar pontianak,birned satriadi,telpon tidak pernah di angkat,2,2017-08-11
kantor pos besar pontianak,ahmadi susanto,kecewa,1,2020-08-11
kantor pos besar pontianak,186 pay,kantor pos pontianak,5,2017-08-11
kantor pos besar pontianak,abdu somad,mantap...👍 …,5,2021-08-11
kantor pos besar pontianak,elvrioz,mantep,5,2021-08-11
kantor pos besar pontianak,ramlan dede,lambat..👎👎👎👎👎 …,1,2018-08-11
kantor pos besar pontianak,hardi yanto,kantor pos pontianak,3,2017-08-11
kantor pos besar pontianak,elicia javiera,"tempat ini dulunya kantor pos lama, tetapi telah direnovasi menjadi lebih modern. mudah dikenali karena sebelumnya terdapat pertigaan dan terletak di tengah. terdiri dari warna putih dan oranye. saat sampai di sana, kita dorong pintunya untuk membuka dan jangan lupa pilih nomor antrian di sebelah kanan, di samping pintu saat membuka. setelah itu, anda bisa pergi ke sebelah kanan, di sana terdapat meja yang berisi lem (untuk merekatkan perangko, surat, dll.), slip wesel pos, dan lain-lain. anda bisa membaca informasi di sana atau bertanya kepada operator. setelah itu, anda bisa menunggu di ruang tunggu. tersedia banyak kursi dan tunggu hingga nomor anda dipanggil. setelah itu, anda bisa pergi ke nomor operator sesuai perintah. anda bisa memberikan nomor yang anda dapatkan, lalu mereka akan memproses dan membayar. biayanya berbeda-beda, tergantung permintaan anda. jika anda ingin mengirim surat dari pontianak ke jakarta dengan ""kilat khusus"", anda harus membayar rp 20.500.",3,2018-08-11
kantor pos besar pontianak,awal sjr,"kantor pusat milik pemerintah yang melayani pengiriman dokumen dan barang dan berlokasi di kota pontianak. kantor ini buka hingga sore hari untuk melayani pelanggan. kantor ini juga melayani penjualan bea materai, pembayaran pajak dan sebagainya. kantor ini juga melayani pengiriman dan pengambilan barang dari luar negeri. tempat parkir di sini cukup luas baik untuk mobil maupun motor.",3,2023-08-11
kantor pos besar pontianak,aprilia aprilia,"mereka punya nomor telepon cs di whatsapp untuk bertanya, dan responsnya cepat. jadi, saya whatsapp mereka sebelum datang untuk memastikan mereka punya barang yang saya inginkan. saya datang ke sini dan ditangani oleh ibu sari. saya mengirim sekotak barang ke nederland seberat 15 kg dengan biaya yang sangat terjangkau. biasanya saya kirim dari jakarta, tapi ini pertama kalinya saya kirim dari pontianak. sari sabar dan pelayanannya sangat memuaskan. sopan dan baik. saya akan kembali karena ada 5-8 kotak yang harus dikirim ke nederlands! semoga pelayanannya tetap baik saat saya kembali 👍🏻",5,2024-08-11
kantor pos besar pontianak,boby mugi pratama,"saya tidak sengaja kehilangan catatan konsinyasi saya. ketika saya datang ke kantor meminta mereka untuk mencetak yang baru, mereka tidak dapat mencetaknya atau bahkan memberi saya nomor nota pengiriman.

saya hanya memerlukan nomor catatan pengiriman untuk pelacakan.",1,2017-08-11
