user,rate,reviews,tanggal reviews,aplikasi
mhy nahari,1,sulit verifikasi email... ber ulang-ulang tidak bisa...,2025-07-05 14:03:57,PosMobile
Mega Chintia,3,"verifikasi gplaynya lama bgt, gagal Mulu LG",2025-07-05 13:29:20,PosMobile
Arya,1,jangan di korup dong sulit banget ngirim email juga wjwk,2025-07-05 13:00:16,PosMobile
Sa Nuri,5,mau buka,2025-07-05 11:39:24,PosMobile
Faozan Ihsan,1,jelek,2025-07-05 10:56:24,PosMobile
Santi Fernia,3,"aplikasi ga guna ,miris BUMN layanan ngga ada yang bener",2025-07-05 08:55:12,PosMobile
Kusnawan Iwan,1,brengsek kode otp via email ga muncul2........aplikasi ga guna,2025-07-05 01:44:07,PosMobile
Kaysan Asyiauqie,1,apk rusak mau daftar pun error trus gak guna njir lah ngabisin kuota buat download nih apk,2025-07-04 22:54:30,PosMobile
Sur Yono,5,sulit donlod pospay,2025-07-04 22:32:58,PosMobile
Ali Sodikin,1,lemot vertifikasi lewat emailnya,2025-07-04 20:31:40,PosMobile
Tamac Coil,1,"kode otp nya mana ?. belum dikasih 3x kok udah melebihi batas permintaan?. kalau bikin aplikasi, kalau belum sempurna. jangan di taruh di playstore",2025-07-04 19:35:37,PosMobile
Tuah sakti,1,Tidak menerima kode verifikasi susah sekali hmm,2025-07-04 15:51:06,PosMobile
Didon Klj,4,tahap verifikasi susah,2025-07-04 15:38:28,PosMobile
Irl agustian,1,OTP GA KEKIRIM DI COBA TERUS SURUH NUNGGU 24 JAM DEUH,2025-07-04 14:42:09,PosMobile
Ruslaeni,4,bagus,2025-07-04 13:38:09,PosMobile
arya gyanendra,1,"aplikasi sering eror, terjadi kesalahan pada sistem terus, terlalu lola",2025-07-04 13:35:41,PosMobile
Beno Fajar Ramadhan,1,aplikasi KON..!!,2025-07-04 12:51:47,PosMobile
Ulfah zafa,1,jelek bgt g buka',2025-07-04 12:17:46,PosMobile
Yanuar Yudistira,1,"baru aja masuk verifikasi email, sudah tidak diakses sistemnya..yo opo gae aplikasi ga siap blas",2025-07-04 12:09:25,PosMobile
Dhikan,1,susah,2025-07-04 11:22:39,PosMobile
Wasis Saputro,1,Kenapa aplikasi BUMN kualitas sangat buruk,2025-07-04 11:20:11,PosMobile
Nur Cahyono,1,parah verifikasi email ngk bisa,2025-07-04 10:19:58,PosMobile
Ari Kusuma,1,"payah.. aplikasinya lambat dan ga praktis, mau upgrade aja susah.. payah",2025-07-04 09:20:55,PosMobile
Cukong Pow,1,"verifikasi email, saat ini system tidak dapat diakses, silahkan coba beberapa saat lagi, sungguh mengecewakan",2025-07-04 08:03:16,PosMobile
Gischa Irawan,3,Kenapa tidak dapat verifikasi email.?? mohon di respon bantuanya,2025-07-04 07:59:35,PosMobile
Nur Chanifah,1,"verifikasi alamat gagal terus, padahal udah sesuai ktp👎",2025-07-04 05:05:26,PosMobile
Iwan Setiawan 79,1,Susah registrasi nya,2025-07-03 09:19:18,PosMobile
Dicky Sanjaya,1,"untuk verifikasi nomor aja susah kode otp tidak kunjung dikirim padahal sudah di ulang 3x, di langkah awal aja sudah terkendala seperti ini, buruk.",2025-06-29 06:26:52,PosMobile
T. Alwan Thufail Asy-Syahrif,5,luarbiasa semoga gak error² lagi,2025-06-26 10:59:04,PosMobile
"Pratiwi Dwi Ayu Saputri, S.E",1,verifikasi email gabisa !,2025-06-25 09:48:54,PosMobile
Yanuar Basuki,1,"susah sekali untuk verifikasi email, sudah jelas saya masukan kode otp sesuai dengan yang di email..tapi muncul keterangan kode otp tidak sesuai",2025-06-17 09:09:40,PosMobile
Abdul Malik,1,Tombol loginmu mana kok gak ada?,2025-06-11 09:20:25,PosMobile
IRFANSYAH IRFANSYAH,1,di samsung a55 ada bug ngestuck di awal logo tidak bisa masuk,2025-06-06 15:47:21,PosMobile
Umar Faruk,5,kurang baik,2025-05-22 12:50:03,PosMobile
Erlangga Putra,5,Keren skrg aplikasinya,2025-04-16 08:38:34,PosMobile
Adhan Dia,5,oke,2025-04-16 00:29:14,PosMobile
Semoga Langgeng,1,"aplikasi yang sangat sulit saat verivikasi, tolong di perbaruhi ,jangan mempersulit saat verivikasi foto",2025-04-14 07:17:12,PosMobile
tina sholihan,1,seharian vertifikasih wajah gk bisa... jam kerja sibuk..sampai jam 00 tetap gk bisa..,2025-04-13 01:19:33,PosMobile
cucik widiati,3,"3 aja dulu, min mau nanya sebenarnya kendala apa yang ada di sistem sampe2 ratusan kali upgrade dari jam sibuk sampe jam 00 tetep tak bisa, sebagai pelanggan trs harus bersikap gimana, upgrade nya saja susah nya minta ampun",2025-04-11 06:15:37,PosMobile
Anas Achmad,1,lebih lengkap yg lama,2025-03-30 00:28:16,PosMobile
Nurlia Yuyun,1,setiap sampai d tahap sandi slalu kembali ke menu awal gimana di sampai pusing,2025-03-16 01:35:31,PosMobile
Nur Hidayati,1,Aplikasi apa ini sulit verifikasi wajah.,2025-03-15 20:25:27,PosMobile
Samsul Hadi,3,Aplikasi error.. verifikasi wajah tidak bisa,2025-03-15 00:40:35,PosMobile
Khanzo Fraditha,1,Gak bisa aplikasinya....parah...!!!,2025-03-11 09:48:47,PosMobile
Angga Taruna,1,Mau masuk aplikasi nya harus update tapi ga bisa update jadi gimna nihh,2025-03-10 14:32:03,PosMobile
RyCanRozz Channel,1,Gk bisa login di proses ktp.tgl lhir.ibukndung.,2025-03-10 00:43:58,PosMobile
NASIRUN NAJIB HARAHAP,5,OK,2025-03-09 04:02:07,PosMobile
Muhammad Fahrizal Budiansyah,1,"Setelah di update versi terbaru kaya ada bug gitu, baru login langsung keluar terus",2025-03-08 11:07:27,PosMobile
Nur Yahman,5,Keren ... mantab coy,2025-02-15 19:10:12,PosMobile
Zain Tuasamu,5,Penggunaan kyc saat registrasi sudah bagus,2025-02-13 11:02:07,PosMobile
Restu AP,5,"Untuk riwayat transaksi nya mohon untuk di gabung jadi satu, jangan si pisah pisah min, jadi pas mau lihat history transaksi, transfer, pembayaran dll, jadi satu baris laporannya seperti pospay versi sebelumnya, terimakasih",2025-02-05 13:43:02,PosMobile
Tadys Aulia Jabbar,4,"Berfungsi dengan baik. Bisa untuk membeli pulsa,beli token listrik,bayar air pdam dll. Hanya saja menunya kurang lengkap.",2025-01-29 08:51:48,PosMobile
Hai Velyu,1,Nggak ada riwayat transaksi/ mutasi rekening,2025-01-26 23:02:25,PosMobile
إيان بانجيتآن,1,"Semakin hari, semakin bulan.aplikasi Pospay Mobile, semakin lelet dan keseringan kembali setiap membuka aplikasi.",2025-01-23 21:21:21,PosMobile
Kak Cici,1,Apa lg ini aplikasi. 1 pospay yg lain saja sistem keamanan dan lainnya sja masih bnyk yg kurang. Ini malah bikin aplikasi pospay yg lain. Sempurnakan saja yg sudah da,2025-01-18 17:21:12,PosMobile
Sasi Kirono,5,Begitu ada versi terbaru dari Pospay yaitu Pospay Mobile rilis di play store yang awalnya baru ada 500an di download langsung saya download daftar dan pakai. Secara umum lebih fresh dengan tampilan warna biru dan makin nyaman di mata. Lebih ringan daripada yang versi lama. Tampilan menarik canggih dan sistem terpantau sekelas sistem bank. Kebetulan dapatkan nomor rekening giro pos cantik murah di hafal. Sedikit saran agar Pos Ind segera aktifkan beberapa fitur yg masih pending agar makin mantab.,2025-01-12 19:41:39,PosMobile
phernando Link,3,"Min, kenapa saat upgrade selalu gangguan pada sistem? sudah ratusan kali saya coba tapi tetap gagal, mohon direspon terimakasih",2025-01-04 15:13:30,PosMobile
asepsp22_,5,"Menu nya masih kurang lengkap ga kaya yang lama, trus trasaksi ga dapet poin. Coba sama kaya yang lama tambah keren .",2025-01-03 23:04:08,PosMobile
olee mr.posman,5,Mantap,2025-01-03 19:27:37,PosMobile
Devy Afrilia,4,Hai min.. Untuk cek riwayat transferan yang masuk dari pospay lama atau pun loket masih tidak terlihat ya...,2025-01-03 11:14:12,PosMobile
Heri Setiyo Nugroho,5,Tampilan keren & warna biru. Bisa mengecek barang dan transaksi. Mantap,2025-01-01 21:47:06,PosMobile
Ade Novel,5,UI nya lebih keren.. Mantap PosIND.,2024-12-27 16:16:17,PosMobile
agusri hadi,5,Tampilan bagus dan modern..,2024-12-16 17:21:05,PosMobile
Achmad Anas,5,Lebih Smoth,2024-12-13 19:08:34,PosMobile
Pengguna Google,5,"oke, bagus....",2025-10-05 10:32:15,PosAja
Pengguna Google,1,"Baru pertama pakai aplikasi ini resi gak gak bisa di lacak dari apk nya, Harus di lacak lewat web, intinya Buat reselleer Jangan dowload apk ini",2025-10-04 14:16:50,PosAja
Pengguna Google,1,"Aplikasi ngga berguna,Kode Verifikasi ngga pernah di kirim.......!!!!!",2025-10-03 17:04:51,PosAja
Pengguna Google,1,"Gimana ini kantor pos GK ngabantu banget kiriman saya di batalin uangnya belum di balikin,,Tolong dong admin posaja bantu saya kalo bisa ngabantu,Saya chatt csnya malah jadi off GK tau di blokir wa saya nya,, dari awal februari sampe sekarang duit gua kagak balik",2025-10-02 12:52:33,PosAja
Pengguna Google,1,dalam kota 1 hari. lemot banget,2025-09-30 15:57:59,PosAja
Pengguna Google,1,"Akhir akhir ini banyak kurir bermasalah. COD tidak kunjung disetorkan, Alamat sudah tertera jelas namun tidak kunjung diantar, dll CS harus bisa lebih tegas supaya pos tetap berkembang",2025-09-30 12:21:50,PosAja
Pengguna Google,5,cepat akurat...murah pokoknya MANTUL,2025-09-30 11:30:36,PosAja
Pengguna Google,1,APLIKASI TIDAK BISA DIAKSES DI MOTOROLLA G45 5G,2025-09-29 21:21:14,PosAja
Pengguna Google,5,ok,2025-09-29 17:39:51,PosAja
Pengguna Google,5,pengiriman aman dan cepat,2025-09-29 11:13:33,PosAja
Pengguna Google,5,mantap,2025-09-28 13:24:13,PosAja
Pengguna Google,5,sangat membantu sekali.tidak ada iklanya maaaantaaap,2025-09-27 20:56:46,PosAja
Pengguna Google,5,Murah tidak murahan,2025-09-27 20:54:15,PosAja
Pengguna Google,5,sangat melatih kesabaran bagus!!!,2025-09-27 07:09:01,PosAja
Pengguna Google,1,"BUMN kok sering lola ini apk , ga enak bgt buat jualan onlime sprti saya , pas banyak yg nanya ongkir lemot bahkan ga bisa dibuka",2025-09-27 01:05:41,PosAja
Pengguna Google,5,"bagus, ok tingkatkan terus pelayanan yang Ter-Baik ya",2025-09-25 13:57:55,PosAja
Pengguna Google,3,"Kasih bintang 3 dulu, soalnya paket masih blm sampe udh hampir seminggu, pdhl pilih pengiriman express. paket udh sempet dikirim, cuma pengiriman pertama ""Alamat blm ditemukan"" dan pengiriman kedua alasannya ""Rumah Kosong"". Padahal rumah selalu ada orang, dan kalaupun kosong kan bisa titip ke tetangga. Dan sama sekali ga ada chat, padahal nmr saya jelas dan ada wa nya",2025-09-20 03:44:48,PosAja
Pengguna Google,5,bagus layanan cepat amanah,2025-09-19 15:45:11,PosAja
Pengguna Google,1,"apk tidak berguna, bukannya ada solusi di lempar sana sini aja",2025-09-19 08:06:16,PosAja
Pengguna Google,1,"verifikasi kode ga valid, la maksudnya gimana bujang? yg kasi kode kan sistem lu. gue cuman masukin. tapi ga valid. terus pake kode apa? kode togel?",2025-09-15 06:53:44,PosAja
Pengguna Google,1,bakal selamanya benci sm beacukai.,2025-09-14 22:43:52,PosAja
Pengguna Google,2,lama sampennya kadang kadang kurir lambat pelayananya,2025-09-14 10:25:20,PosAja
Pengguna Google,5,kiriman tiba cepat dan aman,2025-09-13 14:36:07,PosAja
Pengguna Google,1,"kurir 2 kali gagal antar karena alamat tidak ditemukan,yang kedua melebihi jam operasional...Tolong untuk kurirnya.sebelum berangkat susun dulu yg rapih peralamat biar enak ngirimnya.",2025-09-13 12:17:25,PosAja
Pengguna Google,2,"aplikasinya sangat lemot padahal jaringan bagus, tolong diperbaiki",2025-09-13 10:12:22,PosAja
Pengguna Google,1,Rebet,2025-09-12 18:49:46,PosAja
Pengguna Google,1,"aplikasi ga jelas bgt, baru mau daftar kode ga valid, diulang2 ttep aja, niat ga seh bkin aplikasi, hadeeeh😇🤦‍♀️",2025-09-12 06:39:59,PosAja
Pengguna Google,3,"bagus sebenarnya,cuman ribet,kode kirim sama resi entri harus minta lagi,kaya JNT kan enak kode yang muncul langsung jadi resi siap cek,",2025-09-11 06:51:43,PosAja
Pengguna Google,1,"jangan pake pos, pengiriman dalam Daerah aja bisa nyampe 3 hari intansi goblog",2025-09-10 16:48:11,PosAja
Pengguna Google,2,"ini gimana sih paket lama banget sampainya? dijanjiin besok sampai, eeh 4 hari baru datang. mana susah di tracking paketnya karna aplikasinya masih sering error.",2025-09-09 17:54:44,PosAja
Pengguna Google,1,"Aplikasi yang tidak pro dengan masyarakat Indonesia, di masyarakat masih banyak yang pakai HP android 9 bahkan android 8, tapi aplikasi ini mengharuskan menggunakan android 10 ke atas wkwkwkwk",2025-09-08 11:07:38,PosAja
Pengguna Google,1,banyak bug,2025-09-07 10:16:49,PosAja
Pengguna Google,1,masukkan kode verifikasi pendaftaran invalid trus? aplikasi apa ini,2025-09-06 06:53:46,PosAja
Pengguna Google,5,semoga semakin maju POS indonesia,2025-09-04 20:49:36,PosAja
Pengguna Google,5,Mantap,2025-09-04 12:23:03,PosAja
Pengguna Google,5,easy to used simple,2025-09-04 09:19:19,PosAja
Pengguna Google,5,ok,2025-09-04 08:57:22,PosAja
Pengguna Google,1,pengiriman paket sangat lama,2025-09-04 06:15:16,PosAja
Pengguna Google,5,pengiriman cepat trs bisa transaksi cod,2025-09-03 08:45:29,PosAja
Pengguna Google,1,lah aplikasi TOL** mau masuk nunggu kode verifikasi sudah ada kodenya selalu invalid code terus. terus aja sampe kiamat begitu. aneh dasar aplikasi BUMN gada yg bener,2025-08-31 05:22:26,PosAja
Pengguna Google,1,nggak ada respon,2025-08-29 17:58:53,PosAja
Pengguna Google,2,"pengiriman harus sesuai jadwal.. pengiriman 3 hari, ditunggu 10 hari belum datang... harus profesional lagi... kasian yang menunggu berkas penting",2025-08-28 12:21:53,PosAja
Pengguna Google,5,ruwet coj,2025-08-28 08:30:35,PosAja
Pengguna Google,5,bagus,2025-08-26 16:34:45,PosAja
Pengguna Google,5,app sangat membantu,2025-08-25 12:13:49,PosAja
Pengguna Google,5,ok,2025-08-25 11:39:16,PosAja
Pengguna Google,5,baru download sih belum digunakan tapi semoga bisa membantu 🙏🏻 terimakasih,2025-08-25 08:33:37,PosAja
Pengguna Google,1,daftar kga bisa apk kontlo,2025-08-25 03:38:01,PosAja
Pengguna Google,5,sangat membantu untuk pengiriman dan bisa pick up juga,2025-08-24 17:33:12,PosAja
Pengguna Google,5,mohon info kenapa aplikasi pos aja kok trouble ?? padahal sangat saya andalkan untuk jualan online saat kirim barang,2025-08-23 17:19:09,PosAja
Pengguna Google,1,jelek,2025-08-23 17:17:40,PosAja
Pengguna Google,3,"biaya kirim di aplikasi sama loket kok gak sama ya, aq liat di aplikasi harga 22.000 tpi kenapa kok di loket kantor posnya bisa kena 26.000",2025-08-22 09:32:59,PosAja
Pengguna Google,1,"dari sekian banyak aplks pengiriman, ini yang paling lelet🥴",2025-08-22 07:27:18,PosAja
Pengguna Google,1,"sangat di sayangkan baru pertama kali coba kirim surat pakai pos padahal sudah 7 hari baru di kirim setelah di cek, terus kemarin kemarin kemana aja baru di kirim setelah 7 hari😌",2025-08-20 12:14:01,PosAja
Pengguna Google,1,"kode verifikasi registrasi salah terus , terus pengirim kode nya dr nomor biasa jadi ragu , seeprti penipuan",2025-08-20 06:14:08,PosAja
Pengguna Google,4,"baru pertama kali coba, tapi agak kecewa. setelah melakukan order pickup dan sudah bayar, di aplikasi tidak ada sarana untuk mengetahui kapan waktu pickup dan harus kontak cs, tapi cs pun tidak dapat melacak order harus menggunakan informasi dari pelanggan. bahkan proses lewat cs pun tidak bisah akurat. minta tolong untuk di perbaiki kedepannya, biar produk Indonesia terlebih BUMN di percaya masyarakat🙏",2025-08-18 22:25:01,PosAja
Pengguna Google,5,ok,2025-08-18 07:47:08,PosAja
Pengguna Google,1,"lucu, mau daftar kode tidak valid terus, pdahal kode itu yg dikirim ke WhatsApp.",2025-08-18 06:28:12,PosAja
Pengguna Google,5,kapan saja dan dimana saja sangat user friendly makanya saya beri bintang 5,2025-08-18 05:50:11,PosAja
Pengguna Google,5,luar biasa,2025-08-14 11:12:33,PosAja
Pengguna Google,1,"semoga diperbaiki/diupdated fiturnya. semisal online chat admin, karena hanya tersedia no tlp kantor yg ribet dan mahal",2025-08-12 17:48:30,PosAja
Pengguna Google,1,pngiriman lelet ccd seminggu lebih,2025-08-12 11:11:24,PosAja
Pengguna Google,5,bagus tepat waktu,2025-08-10 07:22:51,PosAja
Pengguna Google,1,"update aplikasi banyak fitur yg hilang, lokasi pos terdekat jadi hilang,",2025-08-09 19:56:26,PosAja
Pengguna Google,5,Keren mantap,2025-08-08 19:27:36,PosAja
Pengguna Google,5,good,2025-08-08 12:28:47,PosAja
Pengguna Google,1,jgn pernah instal aplikasi ini !!! pernah ngirim paket gagal pick up resi jg hangus.. dsuruh input yg baru kirain pake uang sblmnya.. eh tau2 bayar lagi.. dah gtu uang yg sblmnya dr resi yg gagal pick up entah kemana.. dsuruh ke kantor pos terdekat.. bolak balik sama aja nihil katanya mau dtrf balik... bobrok BUMN aplikasi ini tdk ada u uang refund.. jg coba2 klo uang anda ga mau hilang.. dah 1 bulan ga ada kejelasan tiap tlp atau dtg ke gerai..,2025-08-08 10:15:08,PosAja
Pengguna Google,5,"sangat bermanfaat sekali ketika kita sedang sibuk dan tak bisa kekantor pos, dengan aplikasi ini kita dimudahkan untuk kirim surat atau paket, tinggal kita isi saja datanya layanan pos sameday nextday atau reguler, kirim kemana dan berapa beratnya tinggal klik akan keluar biaya tinggal bayar pakai VA POSPAY dll...dan selanjutnya kita tunggu penjemputan dari petugas kantor pos terdekat . top",2025-08-07 18:32:39,PosAja
Pengguna Google,1,pengiriman paket nya lambat...kapook,2025-08-07 16:55:20,PosAja
Pengguna Google,4,sedikit membantu,2025-08-07 15:43:42,PosAja
Pengguna Google,5,baik,2025-08-05 13:57:04,PosAja
Pengguna Google,1,"paket saya dikirim ke orang lain tanpa konfirmasi. status paket sudah diterima yg bersangkutan padahal saya ga nerima apa2. liat bukti diterima ga bisa dibuka, aneh.. ditulis penerima namanya nur. padahal anak istri saudara dan orang sekitar ga ada namanya nur.",2025-08-03 22:42:47,PosAja
Pengguna Google,2,"niat hati bikin SIM dikirim lewat pos eh malah zonk haruskah tgl 31 spi sya tgu spi tgl 1 blm jga di kirim ,akhir nya tgl 2 sya ambil sendiri ke kantor pos,jadi sya rugi sekitar 30rb an.",2025-08-03 06:31:39,PosAja
Pengguna Google,1,gila lemot banget pengirimannya,2025-08-01 17:22:43,PosAja
Pengguna Google,1,"Aplikasi rusak. Dimasukkan resi pada aplikasi, data tidak valid. Lacak menggunakan website bisa. Ngabisin duit ini aplikasi. Stop pakai pos lah.",2025-07-30 18:39:49,PosAja
Pengguna Google,1,"wa tolong dicantumkan per daerah biar jelas pemesanan konsumen. rugi konsumen karena pembayaran telah dilakukan, duit tak kembali dan pembatalan tak bisa.",2025-07-30 16:53:06,PosAja
Pengguna Google,1,no wa tolong cantumkan biar jelas pemesanan konsumen. dah rugi pembayaran namun barang tak ada dikirim dan pembatalan tak bisa.,2025-07-30 16:51:45,PosAja
Pengguna Google,2,ngirim pakett kok berhari hari. padahal udah deket bngt tinggal anter ke alamat penerima aja lama bngtt. sekelas posAja ternyata gini wkwk mending j&t/jne lebih terpercaya ada nomor kurir dan paket di lokasi mana bisa tau.,2025-07-29 11:26:24,PosAja
Pengguna Google,5,sangat membantu.. trima ksih 🙏,2025-07-28 23:04:42,PosAja
Pengguna Google,5,"Sangat bermanfaat. Membantu sekali pedagang online, pengiriman seluruh Indonesia OK. Bisa COD, dana cepat cair. Sudah sejak tahun 2019 pakai POS. Sudah pakai berbagai ekspedisi, paling cocok pakai POS.",2025-07-27 18:55:58,PosAja
Pengguna Google,1,"pengiriman paket lewat pos sangat lambat sekali, kalah dengan pengiriman dengan yg lain. untuk ke 2 kalinya paket sy selalu terlambat, dan jg untuk kuringnya MLS untuk antar dengan alasan batasan sdh habis besok akan dikirim ulang. yg akhirnya paketnya makanannya menjadi basi, TDK dpt tepat waktu sampenya paketnya. nyesal sy pengiriman paket pake POS",2025-07-27 14:57:21,PosAja
Pengguna Google,1,pelayanan paling jelek se Indonesia nyesel saya menerima pake pos mahal datang lama,2025-07-25 15:02:15,PosAja
Pengguna Google,5,ayah saya memakai ini,2025-07-25 12:22:55,PosAja
Pengguna Google,1,"Ahahaha, ada² aja masa g bisa cek resi POS",2025-07-25 08:39:20,PosAja
Pengguna Google,5,oke top,2025-07-24 13:45:28,PosAja
Pengguna Google,5,..Produk Indonesia Asli. kerennn dulu suka kirim surat dan wesel,2025-07-22 16:28:48,PosAja
Pengguna Google,5,"pengiriman paket cepat sampai tujuan, dan dapat di percaya barang diyerima sampai tujuan.",2025-07-22 16:11:22,PosAja
Pengguna Google,5,bagus membantu sekali,2025-07-22 13:51:54,PosAja
Pengguna Google,1,ribet,2025-07-21 12:25:06,PosAja
Pengguna Google,5,tingkatkan pointnya lebih banyak,2025-07-20 09:34:37,PosAja
Pengguna Google,1,ga jelas anjir verifikasi kode tidak valid terus padahal uda bener,2025-07-20 01:44:17,PosAja
Pengguna Google,5,sy selalu pakai pos orange ini setiap kirim BRG... Alhamdulillah pelayanan nya baik dan amanah,2025-07-19 18:00:38,PosAja
Pengguna Google,2,link pembayaran terlalu lemooooot..,2025-07-19 12:44:43,PosAja
Pengguna Google,5,bagus,2025-07-19 09:00:26,PosAja
Pengguna Google,1,apl sampah. gak bisa di lacak pengiriman. asli aplikasi sampah,2025-07-19 08:18:46,PosAja
Pengguna Google,5,mantap,2025-07-18 20:22:09,PosAja
Pengguna Google,5,ok,2025-07-18 16:38:15,PosAja
Pengguna Google,1,"pengiriman sangat BURUK,tidak sesuai dengan estiamasi yang sudh di tentukan,di tambah kurirnya super super lambat",2025-07-17 15:52:21,PosAja
Pengguna Google,5,Sangat membantu dalam hal tracking pengiriman paket...👍,2025-07-17 08:22:10,PosAja
