Pos Office Branch,User,Reviews,Rate,Date
Pos Indonesia. PT,Stevan Siregar,"Hati2 kalo dah masuk trus gak dapet parkir (krn emg sering penuh) muter2 doang tetep kena charge 3rb
Ga ada toleransi waktu 10 menit an seperti dulu..
Begitu masuk lsg dihitung jam pertama",1,setahun lalu
Pos Indonesia. PT,Ade Setiadi,Tempat luas,5,setahun lalu
Pos Indonesia. PT,Sugito Gito,Tempat nikah keponakan nak Yoga dpt istri Bandung.,5,Diedit 4 tahun lalu
Pos Indonesia. PT,amira k,"Gedung luas, toilet ckp bersih, ada starbak, dan sempat beli cincin di toko pegadaian 24, sayang masjidnya agak gelap",5,4 tahun lalu
Pos Indonesia. PT,Elly Lisnawaty,"Alhamdulillah, Tempatnya Sangat Bersih Dan Sangat Nyaman, Dengan Pelayanan Yang Sangat Baik, Sehingga Orang Menjadi Betah Berlama-lama di sana..",5,setahun lalu
Pos Indonesia. PT,tea_addictmom,Musholla area wanita kok panas  kalau di area pria sejuk da ac nya dihidupkan,5,Diedit setahun lalu
Pos Indonesia. PT,Karina Khairiyyah,Parkir di basement bau kotoran sekali. Tolong untuk diperhatikan kebersihannya,2,setahun lalu
Pos Indonesia. PT,Tohari Tama (Tohari),Ballroomnya yaman bersih luas...cocok banget buat ngadain acara apaun disini..apalagi kalo utk acara wedding dijamin puas..orngnyapun ramah ramah..ewcomended banget untuk ngadain acara diindoor,5,3 tahun lalu
Pos Indonesia. PT,muti tika,"Di graha pos ini ad banyak perusahaan..
Salah satunya ;
pegadaian, galeri 24, english course EF, coffee shop Starbucks, circle k..",5,setahun lalu
Pos Indonesia. PT,Aldikha GS,"Kantor pos payah, mau kirim dokumen, lalu dokumen diserahkan ke petugas, diminta tunggu, setelah 10 mnt tidak dipanggil, ternyata printernya rusak, hallo kenepa ga bilang dari tadi, tau gitu cari logistik lain 👎🏻 …",1,2 tahun lalu
Pos Indonesia. PT,Asep Suryaman,"tempatnya luas , biasa di pakai buat sewa kantor juga , ada gallery materai dari generasi ke generasi mushola ada , toilet bersih",5,4 tahun lalu
Pos Indonesia. PT,selamet riadi,Sangat baik...,5,sebulan lalu
Pos Indonesia. PT,Indra Md,temukita tempat terbaik untuk destinasi wisata kuliner,5,9 bulan lalu
Pos Indonesia. PT,Buci Morisson,Ruang bawah untuk sholatnya kurang cahaya,3,3 tahun lalu
Pos Indonesia. PT,-,"Gedungnya bagus tertata rapih, staff ramah"" dan toiletnya bersih.",5,2 tahun lalu
Pos Indonesia. PT,Selviana Violet,Tiap Sabtu mau les disini parkiran penuh..kacau,1,setahun lalu
Pos Indonesia. PT,Dhimas Challey,Tempat yg menyediakan layanan resepsi di gedung ini,5,setahun lalu
Pos Indonesia. PT,Firman Alamsyah,"Bangunan lama, namun opsi yg tepat u/ sewa perkantoran karena lokasi yg berada di pusat kota",4,4 tahun lalu
Pos Indonesia. PT,Dadang Sudarmadji,Nyaman dan cukup untuk pertemuan grup besar,5,setahun lalu
Pos Indonesia. PT,Asep Jakaria,Lokasi strategis pusat kota,4,7 bulan lalu
Pos Indonesia. PT,imam pujono,"Pelayanan kiriman cepat, terjangkau harga, track and trace oke",5,2 tahun lalu
Pos Indonesia. PT,fahrur rosidi,gedung pusat PT pos Indonesia Bandung,4,3 tahun lalu
Pos Indonesia. PT,Viska,"Tempat kondangan, beli materai & nongkrong di coffee shop depan.",5,3 tahun lalu
Pos Indonesia. PT,Agus Gunawan,Tempat yg ruarrrr biasa 🤗🙏 …,5,setahun lalu
Pos Indonesia. PT,Taufik Nugraha,Security nya engga ada yg ramah 👎 …,1,3 tahun lalu
Pos Indonesia. PT,doddy,"Strategis, pelayanan bagus",5,11 bulan lalu
Pos Indonesia. PT,zanur fugar ar,Adem .nyaman.pas buat acara resepsi.,5,3 tahun lalu
Pos Indonesia. PT,Eka Perceka Kinayungan,Coworking space-nya cukup ok,4,4 tahun lalu
Pos Indonesia. PT,Hamdani,Belajar banyak disana,5,3 tahun lalu
Pos Indonesia. PT,nita almi,tempatnya bagus,5,setahun lalu
Pos Indonesia. PT,asep nurjaman,Luas dan bersih,5,setahun lalu
Pos Indonesia. PT,Sopia Mubarokah,Bisa PKL disini ga ka?,5,2 tahun lalu
Pos Indonesia. PT,Rizal Fauzi,Mamtul hotelnya elgan,5,3 tahun lalu
Pos Indonesia. PT,Nadia Agustina,pelayanan ramah,5,11 bulan lalu
Pos Indonesia. PT,Kesya Safinka,tempat ter cozzzyyy <33,5,2 tahun lalu
Pos Indonesia. PT,Hinhin Sukmana,Parkirnya lumayan mahal,3,4 tahun lalu
Pos Indonesia. PT,Putri Nurhayati,Semoga sukses,5,2 tahun lalu
Pos Indonesia. PT,Yeti Kusmiati,Tempatnya nyaman 👍👍 …,5,2 tahun lalu
Pos Indonesia. PT,Dodi Irawan,Megah,5,2 tahun lalu
Pos Indonesia. PT,SMK MEDIA TEKNOLOGI Kab. Bogor,Oke,5,2 tahun lalu
Pos Indonesia. PT,Niko aja,Ada workspace disini,5,4 tahun lalu
Pos Indonesia. PT,purwanto sumadi,Banyak tikus,1,4 tahun lalu
Pos Indonesia. PT,Segy Renz,Manajemen buruk.,1,3 tahun lalu
Pos Indonesia. PT,nancy suparto,PARAH PARKIRNYA,2,setahun lalu
Pos Indonesia. PT,Almaira Rafanda Syawal,oke,5,4 tahun lalu
Pos Indonesia. PT,Ade Mulyadi,"Saat ini Gedung Graha Pos Indonesia tidak hanya digunakan sebagai kantor pos dan kantor pusat PT Pos Indonesia, tetapi juga digunakan oleh perusahaan lain seperti Huawei, Prudential, dll.

Di sini juga terdapat beberapa kafe: Starbucks, Farel Cafe, Point Brunch.

Terdiri dari 8 lantai, area parkir yang luas dengan sistem keamanan 24 jam.

Di lantai 8 terdapat beberapa ruangan yang dapat disewa seperti ruang pertemuan, ruang resepsi pernikahan, upacara pembukaan, upacara wisuda, dll.

Tempatnya bagus, bersih, dan nyaman. Saya suka sekali.",5,4 tahun lalu
Pos Indonesia. PT,03Ngaingdays03,"Salah satu bangunan legendaris di Bandung yang berlokasi di Strategis ini masih eksis hingga saat ini, dan sukses di masa sebelum munculnya media online.",5,setahun lalu
Pos Indonesia. PT,Anugrah Nurrewa,"Saya mengunjungi rekan kerja PointLab, yang terletak di dalam gedung ini. Salah satu coworking space paling terjangkau (di kelasnya) di Bandung.",5,3 tahun lalu
Pos Indonesia. PT,Hadit Fikri,"Banyak kantor di sini
Layanan hebat juga",5,setahun lalu
Pos Indonesia. PT,Mh. Lukman Ardiansyah,"Saya baru tahu, ini bukan hanya untuk Pos Indonesia saja, tapi juga korporasi lainnya. Benar-benar nyaman tetapi kurang tempat untuk duduk/menunggu mungkin karena pandemi.",5,4 tahun lalu
Pos Indonesia. PT,Achyadi R.,"Gedung ini memiliki banyak penyewa: Circle K, English First, Kantor Pos, Starbuck, Soon coffee, dan masih banyak lagi",4,2 tahun lalu
Pos Indonesia. PT,Traffic Ridoane,"Diskriminasi ke ojol..
Saya disuruh buka atribut",1,4 tahun lalu
Pos Indonesia. PT,Guna Wardani,👍 …,4,setahun lalu
Pos Indonesia. PT,Ms. Puti Manira,kali SMM,5,2 tahun lalu
Pos Indonesia. PT,Govur Rahman,Kawasan Graha Pos Indonesia Bandung dekat dengan Gedung Sate,5,4 tahun lalu
Pos Indonesia. PT,Rayendra Lukman,Tempat yang bagus untuk pernikahan..,5,setahun lalu
Pos Indonesia. PT,R Anshori,Bagus,5,setahun lalu
Pos Indonesia. PT,Dewi Sakina,Starbucks sangat nyaman,5,3 tahun lalu
Pos Indonesia. PT,ABU MARLO,Bagus 👍 …,5,3 tahun lalu
Pos Indonesia. PT,Udin M Top,Bangunan yang bagus!,5,2 tahun lalu
Pos Indonesia. PT,Hartanto puji,Kangen tempat ini,5,7 bulan lalu
Pos Indonesia. PT,Romeo Siera,Gedung Bagus,4,2 tahun lalu
Pos Indonesia. PT,bagus bagus,Besar,5,3 tahun lalu
Pos Indonesia. PT,이은석,kantor Pos,4,setahun lalu
Pos Indonesia. PT,eots nrsa,Kantor Pos Bandung,5,5 tahun lalu
Pos Indonesia. PT,Gilbert Paska Ferdianto,Tempat yang bagus,4,setahun lalu
Pos Indonesia. PT,adoy NgikNgok,Pelayanan publik,5,3 tahun lalu
Pos Indonesia. PT,DAYS 696,Tempat yang bagus,5,2 tahun lalu
Pos Indonesia. PT,Miming Hambali,Tempat yang bagus,4,3 tahun lalu
